id,city_center_distances,sea_distances
654408_101hotels,"{""793"": 0.5}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1320, ""auto_manual"": 1}}"
227948_101hotels,"{""793"": 1.2}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 2020, ""auto_manual"": 1}}"
15206_101hotels,"{""793"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 563, ""auto_manual"": 0}}"
496528_101hotels,"{""793"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 900, ""auto_manual"": 1}}"
650956_101hotels,"{""793"": 0.6}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 251, ""auto_manual"": 0}}"
668080_101hotels,"{""793"": 0.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1125, ""auto_manual"": 0}}"
249578_101hotels,"{""793"": 0.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1210, ""auto_manual"": 1}}"
496517_101hotels,"{""793"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1432, ""auto_manual"": 1}}"
15192_101hotels,"{""793"": 3}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 721, ""auto_manual"": 1}}"
189278_101hotels,"{""793"": 0.5}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 984, ""auto_manual"": 1}}"
458938_101hotels,"{""793"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 101, ""auto_manual"": 1}}"
570584_101hotels,"{""793"": 0.9}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 444, ""auto_manual"": 1}}"
653669_101hotels,"{""793"": 0.4}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 475, ""auto_manual"": 1}}"
661122_101hotels,"{""793"": 0.6}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 328, ""auto_manual"": 1}}"
13185_101hotels,"{""583"": 3.6}","{""10550773"": {""name"": ""Залив Мухор"", ""genitive"": ""Залива Мухор"", ""distance"": 1475, ""auto_manual"": 0}, ""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 12585, ""auto_manual"": 0}}"
609283_101hotels,"{""3747"": 2.4}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 862, ""auto_manual"": 0}}"
651246_101hotels,"{""3544"": 1.6}",
559442_101hotels,"{""774"": 1.9}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 221, ""auto_manual"": 0}}"
559429_101hotels,"{""774"": 1.1}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 93, ""auto_manual"": 0}}"
650957_101hotels,"{""385"": 1.4}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 317, ""auto_manual"": 1}}"
495572_101hotels,"{""385"": 1.7}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 639, ""auto_manual"": 0}}"
511615_101hotels,"{""385"": 1.1}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 2407, ""auto_manual"": 0}}"
7628_101hotels,"{""385"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1910, ""auto_manual"": 1}}"
664549_101hotels,"{""385"": 1.3}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 482, ""auto_manual"": 0}}"
6479_101hotels,"{""385"": 0.8}","{""133"": {""name"": ""Байкал"", ""genitive"": ""Байкала"", ""distance"": 1360, ""auto_manual"": 1}}"
