id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date,min_price
559466_101hotels,52,49,94.23076923076923,114,2026-04-12,7500.0
227948_101hotels,25,12,48.0,28,2026-04-12,8100.0
609196_101hotels,2,2,100.0,12,2026-04-12,11900.0
570584_101hotels,4,4,100.0,14,2026-04-12,8000.0
458938_101hotels,66,16,24.242424242424242,40,2026-04-12,9600.0
15210_101hotels,12,14,116.66666666666667,42,2026-04-12,4000.0
673191_101hotels,8,8,100.0,16,2026-04-12,8500.0
15192_101hotels,99,12,12.121212121212121,28,2026-04-12,9200.0
650956_101hotels,30,7,23.333333333333332,14,2026-04-12,10000.0
13175_101hotels,10,13,130.0,34,2026-04-12,3500.0
671803_101hotels,2,2,100.0,18,2026-04-12,12000.0
13176_101hotels,10,10,100.0,20,2026-04-12,5000.0
188946_101hotels,58,50,86.20689655172414,125,2026-04-12,4500.0
64543_101hotels,6,7,116.66666666666667,26,2026-04-12,7100.0
651246_101hotels,13,7,53.84615384615385,18,2026-04-12,1800.0
658141_101hotels,3,3,100.0,7,2026-04-12,2400.0
559429_101hotels,8,6,75.0,15,2026-04-12,1999.0
559442_101hotels,12,12,100.0,29,2026-04-12,2400.0
7628_101hotels,64,6,9.375,11,2026-04-12,2950.0
511615_101hotels,15,13,86.66666666666667,28,2026-04-12,3800.0
3365_101hotels,32,16,50.0,40,2026-04-12,8200.0
670724_101hotels,9,9,100.0,23,2026-04-12,5925.0
495572_101hotels,16,8,50.0,24,2026-04-12,3675.0
650957_101hotels,26,23,88.46153846153847,84,2026-04-12,1900.0
671037_101hotels,25,23,92.0,46,2026-04-12,8000.0
672860_101hotels,10,10,100.0,20,2026-04-12,10000.0
6479_101hotels,51,3,5.882352941176471,5,2026-04-12,2850.0
664549_101hotels,6,5,83.33333333333333,11,2026-04-12,2500.0
666682_101hotels,11,10,90.9090909090909,32,2026-04-12,12000.0
665248_101hotels,1,2,200.0,14,2026-04-12,5865.0
652285_101hotels,7,7,100.0,14,2026-04-12,12000.0
14077_101hotels,45,9,20.0,21,2026-04-12,7000.0
8209_101hotels,31,23,74.19354838709677,48,2026-04-12,3800.0
