id,free_rooms_amount,rooms_occupancy_percent,max_capacity
15210_101hotels,2,16.666666666666668,4
654408_101hotels,10,200.0,45
227948_101hotels,5,20.0,11
15206_101hotels,24,64.86486486486487,50
496528_101hotels,38,69.0909090909091,76
650956_101hotels,19,63.333333333333336,43
668080_101hotels,5,38.46153846153846,10
249578_101hotels,5,17.857142857142858,10
496517_101hotels,7,46.666666666666664,16
15192_101hotels,2,2.0202020202020203,8
458938_101hotels,10,22.22222222222222,25
559466_101hotels,8,15.384615384615385,20
570584_101hotels,3,75.0,11
653669_101hotels,16,53.333333333333336,32
661122_101hotels,8,100.0,16
13185_101hotels,4,16.0,12
79583_101hotels,5,45.45454545454545,25
188946_101hotels,11,18.96551724137931,30
609283_101hotels,4,100.0,15
651246_101hotels,3,21.428571428571427,6
559442_101hotels,11,91.66666666666667,27
559429_101hotels,7,58.333333333333336,17
658141_101hotels,3,100.0,7
650957_101hotels,19,73.07692307692308,70
495572_101hotels,2,12.5,4
511615_101hotels,7,46.666666666666664,14
7628_101hotels,2,3.125,3
664549_101hotels,4,66.66666666666667,9
6479_101hotels,2,3.9215686274509802,4
666682_101hotels,4,36.36363636363637,8
653555_101hotels,18,200.0,44
665248_101hotels,2,200.0,14
659250_101hotels,8,32.0,33
8209_101hotels,1,3.225806451612903,4
9509_101hotels,10,43.47826086956522,20
658332_101hotels,2,16.666666666666668,4
4324_101hotels,35,43.75,79
514670_101hotels,9,64.28571428571429,18
650200_101hotels,13,68.42105263157895,41
10553_101hotels,9,60.0,20
658131_101hotels,7,100.0,28
15486_101hotels,10,45.45454545454545,20
10535_101hotels,6,40.0,16
625719_101hotels,6,85.71428571428571,13
659075_101hotels,8,26.666666666666668,16
660481_101hotels,17,100.0,35
670516_101hotels,19,54.285714285714285,38
10562_101hotels,10,83.33333333333333,31
667475_101hotels,3,4.166666666666667,6
671631_101hotels,3,25.0,9
411742_101hotels,18,66.66666666666667,36
10564_101hotels,7,70.0,16
33872_101hotels,6,27.272727272727273,25
140778_101hotels,5,3.90625,10
224_101hotels,46,28.220858895705522,92
220_101hotels,2,0.7142857142857143,4
2397_101hotels,7,3.3653846153846154,14
189360_101hotels,9,56.25,19
671064_101hotels,15,53.57142857142857,29
13173_101hotels,62,51.666666666666664,124
560072_101hotels,10,13.698630136986301,20
6013_101hotels,4,14.285714285714286,8
17090_101hotels,9,42.857142857142854,14
421457_101hotels,28,70.0,56
560073_101hotels,9,20.454545454545453,17
666434_101hotels,15,62.5,30
7178_101hotels,12,34.285714285714285,23
485323_101hotels,9,36.0,19
1970_101hotels,6,26.08695652173913,14
556415_101hotels,6,15.0,12
663295_101hotels,54,51.92307692307692,108
226_101hotels,12,17.647058823529413,21
230_101hotels,2,3.5714285714285716,4
4398_101hotels,15,71.42857142857143,38
607_101hotels,2,8.0,4
669053_101hotels,1,100.0,2
7190_101hotels,18,78.26086956521739,32
406989_101hotels,18,37.5,36
662868_101hotels,2,66.66666666666667,4
669898_101hotels,1,100.0,4
14970_101hotels,3,11.538461538461538,11
462906_101hotels,19,61.29032258064516,74
666294_101hotels,4,66.66666666666667,28
670640_101hotels,2,100.0,4
654635_101hotels,3,75.0,6
4060_101hotels,7,50.0,16
510819_101hotels,3,37.5,52
14164_101hotels,3,42.857142857142854,5
481664_101hotels,4,30.76923076923077,12
653724_101hotels,2,33.333333333333336,4
655564_101hotels,4,36.36363636363637,8
227_101hotels,15,23.4375,27
610841_101hotels,6,60.0,18
7027_101hotels,3,30.0,11
4397_101hotels,10,71.42857142857143,20
662866_101hotels,2,33.333333333333336,4
514851_101hotels,10,25.641025641025642,23
669211_101hotels,1,100.0,4
670168_101hotels,1,100.0,2
662650_101hotels,4,57.142857142857146,19
649990_101hotels,1,8.333333333333334,2
667604_101hotels,1,100.0,2
670249_101hotels,1,50.0,2
378505_101hotels,6,85.71428571428571,30
658204_101hotels,1,20.0,4
231_101hotels,2,3.4482758620689653,4
514581_101hotels,3,42.857142857142854,5
669608_101hotels,3,50.0,4
14127_101hotels,2,22.22222222222222,4
669236_101hotels,1,14.285714285714286,2
650983_101hotels,4,57.142857142857146,12
560074_101hotels,6,26.08695652173913,9
9536_101hotels,13,81.25,21
485325_101hotels,9,50.0,30
666215_101hotels,1,20.0,2
10672_101hotels,3,50.0,14
655145_101hotels,1,14.285714285714286,2
655207_101hotels,1,100.0,4
658938_101hotels,1,50.0,2
665414_101hotels,2,66.66666666666667,8
665413_101hotels,2,100.0,8
667608_101hotels,1,100.0,2
669838_101hotels,2,66.66666666666667,4
669839_101hotels,1,100.0,2
670703_101hotels,1,33.333333333333336,2
660799_101hotels,5,71.42857142857143,40
6855_101hotels,13,48.148148148148145,26
514527_101hotels,2,13.333333333333334,4
660703_101hotels,3,100.0,6
661097_101hotels,11,61.111111111111114,51
663773_101hotels,6,50.0,12
653874_101hotels,3,75.0,10
218_101hotels,7,70.0,16
221_101hotels,1,1.7241379310344827,2
605_101hotels,2,2.985074626865672,4
14079_101hotels,7,30.434782608695652,14
48009_101hotels,65,77.38095238095238,130
421726_101hotels,3,25.0,5
559557_101hotels,5,16.666666666666668,7
669566_101hotels,5,20.0,7
669748_101hotels,2,25.0,3
671748_101hotels,1,100.0,4
668236_101hotels,1,33.333333333333336,4
665625_101hotels,1,14.285714285714286,4
9394_101hotels,7,7.608695652173913,11
