id,rooms_num,free_rooms_amount,rooms_occupancy_percent,max_capacity,date
15210_101hotels,12,1,8.333333333333334,2,2025-03-20
654408_101hotels,5,10,200.0,45,2025-03-20
227948_101hotels,25,11,44.0,25,2025-03-20
15206_101hotels,37,11,29.72972972972973,22,2025-03-20
496528_101hotels,55,40,72.72727272727273,80,2025-03-20
650956_101hotels,30,25,83.33333333333333,55,2025-03-20
668080_101hotels,13,12,92.3076923076923,24,2025-03-20
249578_101hotels,28,6,21.428571428571427,13,2025-03-20
496517_101hotels,15,14,93.33333333333333,30,2025-03-20
15192_101hotels,99,30,30.303030303030305,64,2025-03-20
559466_101hotels,52,39,75.0,94,2025-03-20
570584_101hotels,4,4,100.0,14,2025-03-20
653669_101hotels,30,16,53.333333333333336,32,2025-03-20
661122_101hotels,8,8,100.0,16,2025-03-20
13185_101hotels,25,4,16.0,12,2025-03-20
79583_101hotels,11,4,36.36363636363637,21,2025-03-20
609283_101hotels,4,4,100.0,15,2025-03-20
651246_101hotels,14,10,71.42857142857143,21,2025-03-20
559442_101hotels,12,6,50.0,17,2025-03-20
559429_101hotels,12,1,8.333333333333334,2,2025-03-20
658141_101hotels,3,3,100.0,7,2025-03-20
650957_101hotels,26,13,50.0,55,2025-03-20
495572_101hotels,16,3,18.75,6,2025-03-20
511615_101hotels,15,7,46.666666666666664,14,2025-03-20
7628_101hotels,64,1,1.5625,2,2025-03-20
664549_101hotels,6,4,66.66666666666667,9,2025-03-20
6479_101hotels,51,2,3.9215686274509802,4,2025-03-20
666682_101hotels,11,3,27.272727272727273,6,2025-03-20
653555_101hotels,9,17,188.88888888888889,42,2025-03-20
665248_101hotels,1,2,200.0,14,2025-03-20
659250_101hotels,25,12,48.0,36,2025-03-20
9509_101hotels,23,13,56.52173913043478,26,2025-03-20
658332_101hotels,12,4,33.333333333333336,6,2025-03-20
4324_101hotels,80,13,16.25,22,2025-03-20
514670_101hotels,14,5,35.714285714285715,10,2025-03-20
650200_101hotels,19,16,84.21052631578948,47,2025-03-20
10553_101hotels,15,11,73.33333333333333,22,2025-03-20
658131_101hotels,7,7,100.0,28,2025-03-20
15486_101hotels,22,9,40.90909090909091,18,2025-03-20
10535_101hotels,15,6,40.0,16,2025-03-20
625719_101hotels,7,5,71.42857142857143,10,2025-03-20
659075_101hotels,30,8,26.666666666666668,16,2025-03-20
660481_101hotels,17,6,35.294117647058826,12,2025-03-20
652511_101hotels,9,6,66.66666666666667,16,2025-03-20
670516_101hotels,35,5,14.285714285714286,10,2025-03-20
10562_101hotels,12,11,91.66666666666667,58,2025-03-20
667475_101hotels,72,41,56.94444444444444,82,2025-03-20
671631_101hotels,12,3,25.0,9,2025-03-20
411742_101hotels,27,25,92.5925925925926,50,2025-03-20
10564_101hotels,10,6,60.0,14,2025-03-20
33872_101hotels,22,19,86.36363636363636,49,2025-03-20
224_101hotels,163,47,28.834355828220858,94,2025-03-20
220_101hotels,280,29,10.357142857142858,53,2025-03-20
2397_101hotels,208,6,2.8846153846153846,12,2025-03-20
189360_101hotels,16,1,6.25,2,2025-03-20
13173_101hotels,120,22,18.333333333333332,44,2025-03-20
6013_101hotels,28,2,7.142857142857143,4,2025-03-20
14080_101hotels,30,16,53.333333333333336,31,2025-03-20
17090_101hotels,21,7,33.333333333333336,13,2025-03-20
421457_101hotels,40,9,22.5,18,2025-03-20
560073_101hotels,44,13,29.545454545454547,25,2025-03-20
100517_101hotels,23,4,17.391304347826086,8,2025-03-20
666434_101hotels,24,18,75.0,36,2025-03-20
7178_101hotels,35,6,17.142857142857142,12,2025-03-20
485323_101hotels,25,4,16.0,10,2025-03-20
556415_101hotels,40,1,2.5,2,2025-03-20
663295_101hotels,104,49,47.11538461538461,98,2025-03-20
4398_101hotels,21,6,28.571428571428573,14,2025-03-20
13519_101hotels,48,13,27.083333333333332,29,2025-03-20
669053_101hotels,1,1,100.0,2,2025-03-20
7190_101hotels,23,16,69.56521739130434,28,2025-03-20
406989_101hotels,48,2,4.166666666666667,4,2025-03-20
14970_101hotels,26,2,7.6923076923076925,15,2025-03-20
462906_101hotels,31,11,35.483870967741936,39,2025-03-20
666294_101hotels,6,2,33.333333333333336,14,2025-03-20
4060_101hotels,14,5,35.714285714285715,10,2025-03-20
510819_101hotels,8,3,37.5,76,2025-03-20
14164_101hotels,7,2,28.571428571428573,4,2025-03-20
481664_101hotels,13,5,38.46153846153846,14,2025-03-20
29907_101hotels,26,2,7.6923076923076925,4,2025-03-20
655564_101hotels,11,5,45.45454545454545,10,2025-03-20
227_101hotels,64,33,51.5625,55,2025-03-20
610841_101hotels,10,7,70.0,19,2025-03-20
7027_101hotels,10,1,10.0,4,2025-03-20
4397_101hotels,14,3,21.428571428571427,6,2025-03-20
662866_101hotels,6,4,66.66666666666667,8,2025-03-20
514851_101hotels,39,22,56.41025641025641,55,2025-03-20
669211_101hotels,1,1,100.0,4,2025-03-20
662650_101hotels,7,4,57.142857142857146,10,2025-03-20
649990_101hotels,12,2,16.666666666666668,3,2025-03-20
670249_101hotels,2,2,100.0,4,2025-03-20
378505_101hotels,7,4,57.142857142857146,14,2025-03-20
231_101hotels,58,2,3.4482758620689653,4,2025-03-20
654332_101hotels,11,2,18.181818181818183,4,2025-03-20
514581_101hotels,7,3,42.857142857142854,6,2025-03-20
14127_101hotels,9,2,22.22222222222222,3,2025-03-20
666722_101hotels,7,1,14.285714285714286,4,2025-03-20
650983_101hotels,7,4,57.142857142857146,14,2025-03-20
560074_101hotels,23,6,26.08695652173913,9,2025-03-20
9536_101hotels,16,6,37.5,12,2025-03-20
485325_101hotels,18,8,44.44444444444444,24,2025-03-20
10672_101hotels,6,3,50.0,11,2025-03-20
665413_101hotels,2,1,50.0,4,2025-03-20
670094_101hotels,1,1,100.0,6,2025-03-20
670102_101hotels,1,1,100.0,6,2025-03-20
669838_101hotels,3,1,33.333333333333336,2,2025-03-20
669769_101hotels,1,1,100.0,2,2025-03-20
660799_101hotels,7,7,100.0,43,2025-03-20
6855_101hotels,27,3,11.11111111111111,6,2025-03-20
514527_101hotels,15,2,13.333333333333334,4,2025-03-20
658823_101hotels,5,2,40.0,8,2025-03-20
660703_101hotels,3,3,100.0,6,2025-03-20
661097_101hotels,18,11,61.111111111111114,51,2025-03-20
653874_101hotels,4,2,50.0,6,2025-03-20
218_101hotels,10,1,10.0,4,2025-03-20
605_101hotels,67,2,2.985074626865672,4,2025-03-20
14079_101hotels,23,12,52.17391304347826,26,2025-03-20
48009_101hotels,84,66,78.57142857142857,132,2025-03-20
421726_101hotels,12,3,25.0,5,2025-03-20
559557_101hotels,30,5,16.666666666666668,7,2025-03-20
669566_101hotels,25,5,20.0,7,2025-03-20
