id,rooms_num,free_rooms_amount,available_rooms_percent,max_capacity,date
15210_101hotels,12,2,16.666666666666668,4,2025-03-29
654408_101hotels,5,9,180.0,40,2025-03-29
227948_101hotels,25,7,28.0,16,2025-03-29
15206_101hotels,37,28,75.67567567567568,58,2025-03-29
496528_101hotels,55,1,1.8181818181818181,2,2025-03-29
650956_101hotels,30,27,90.0,59,2025-03-29
668080_101hotels,13,13,100.0,26,2025-03-29
249578_101hotels,28,8,28.571428571428573,18,2025-03-29
458938_101hotels,45,33,73.33333333333333,71,2025-03-29
559466_101hotels,52,52,100.0,120,2025-03-29
570584_101hotels,4,4,100.0,14,2025-03-29
653669_101hotels,30,15,50.0,30,2025-03-29
13185_101hotels,25,4,16.0,12,2025-03-29
609283_101hotels,4,3,75.0,12,2025-03-29
651246_101hotels,14,9,64.28571428571429,18,2025-03-29
559442_101hotels,12,12,100.0,29,2025-03-29
559429_101hotels,12,7,58.333333333333336,17,2025-03-29
658141_101hotels,3,3,100.0,7,2025-03-29
650957_101hotels,26,16,61.53846153846154,45,2025-03-29
495572_101hotels,16,1,6.25,2,2025-03-29
664549_101hotels,6,4,66.66666666666667,9,2025-03-29
670724_101hotels,9,8,88.88888888888889,19,2025-03-29
666682_101hotels,11,3,27.272727272727273,6,2025-03-29
653555_101hotels,9,16,177.77777777777777,38,2025-03-29
665248_101hotels,1,2,200.0,14,2025-03-29
659250_101hotels,25,5,20.0,8,2025-03-29
8209_101hotels,31,10,32.25806451612903,22,2025-03-29
9509_101hotels,23,15,65.21739130434783,30,2025-03-29
658332_101hotels,12,5,41.666666666666664,10,2025-03-29
2136_101hotels,11,6,54.54545454545455,6,2025-03-29
4324_101hotels,80,15,18.75,24,2025-03-29
514670_101hotels,14,7,50.0,14,2025-03-29
650200_101hotels,19,10,52.63157894736842,30,2025-03-29
10553_101hotels,15,11,73.33333333333333,24,2025-03-29
658131_101hotels,7,5,71.42857142857143,20,2025-03-29
15486_101hotels,22,10,45.45454545454545,20,2025-03-29
10535_101hotels,15,5,33.333333333333336,14,2025-03-29
625719_101hotels,7,2,28.571428571428573,4,2025-03-29
659075_101hotels,30,8,26.666666666666668,16,2025-03-29
660481_101hotels,17,17,100.0,35,2025-03-29
670516_101hotels,35,17,48.57142857142857,34,2025-03-29
10562_101hotels,12,9,75.0,52,2025-03-29
667475_101hotels,72,37,51.388888888888886,74,2025-03-29
671631_101hotels,12,3,25.0,9,2025-03-29
411742_101hotels,27,24,88.88888888888889,48,2025-03-29
10564_101hotels,10,4,40.0,8,2025-03-29
33872_101hotels,22,19,86.36363636363636,54,2025-03-29
140778_101hotels,128,32,25.0,64,2025-03-29
224_101hotels,163,90,55.214723926380366,180,2025-03-29
220_101hotels,280,55,19.642857142857142,102,2025-03-29
2397_101hotels,208,79,37.98076923076923,158,2025-03-29
189360_101hotels,16,10,62.5,20,2025-03-29
671064_101hotels,28,22,78.57142857142857,43,2025-03-29
13173_101hotels,120,80,66.66666666666667,160,2025-03-29
560072_101hotels,73,50,68.4931506849315,100,2025-03-29
6013_101hotels,28,5,17.857142857142858,11,2025-03-29
14080_101hotels,30,16,53.333333333333336,30,2025-03-29
222_101hotels,30,12,40.0,24,2025-03-29
421457_101hotels,40,26,65.0,52,2025-03-29
560073_101hotels,44,13,29.545454545454547,24,2025-03-29
100517_101hotels,23,21,91.30434782608695,42,2025-03-29
654278_101hotels,30,11,36.666666666666664,25,2025-03-29
666434_101hotels,24,17,70.83333333333333,34,2025-03-29
7178_101hotels,35,15,42.857142857142854,24,2025-03-29
485323_101hotels,25,19,76.0,40,2025-03-29
1970_101hotels,23,9,39.130434782608695,24,2025-03-29
556415_101hotels,40,1,2.5,2,2025-03-29
663295_101hotels,104,49,47.11538461538461,98,2025-03-29
226_101hotels,68,20,29.41176470588235,44,2025-03-29
230_101hotels,56,31,55.357142857142854,54,2025-03-29
4398_101hotels,21,8,38.095238095238095,17,2025-03-29
10621_101hotels,12,4,33.333333333333336,12,2025-03-29
607_101hotels,25,5,20.0,10,2025-03-29
13519_101hotels,48,7,14.583333333333334,9,2025-03-29
7190_101hotels,23,20,86.95652173913044,35,2025-03-29
406989_101hotels,48,31,64.58333333333333,62,2025-03-29
662868_101hotels,3,2,66.66666666666667,4,2025-03-29
669898_101hotels,1,1,100.0,4,2025-03-29
14970_101hotels,26,5,19.23076923076923,19,2025-03-29
8802_101hotels,19,1,5.2631578947368425,2,2025-03-29
666294_101hotels,6,3,50.0,30,2025-03-29
654635_101hotels,4,3,75.0,6,2025-03-29
4060_101hotels,14,10,71.42857142857143,21,2025-03-29
510819_101hotels,8,3,37.5,74,2025-03-29
14164_101hotels,7,7,100.0,21,2025-03-29
481664_101hotels,13,7,53.84615384615385,24,2025-03-29
653724_101hotels,6,2,33.333333333333336,6,2025-03-29
655564_101hotels,11,7,63.63636363636363,14,2025-03-29
227_101hotels,64,68,106.25,108,2025-03-29
610841_101hotels,10,9,90.0,23,2025-03-29
7027_101hotels,10,6,60.0,18,2025-03-29
4397_101hotels,14,10,71.42857142857143,20,2025-03-29
662866_101hotels,6,3,50.0,6,2025-03-29
514851_101hotels,39,22,56.41025641025641,55,2025-03-29
669211_101hotels,1,1,100.0,4,2025-03-29
662650_101hotels,7,5,71.42857142857143,25,2025-03-29
649990_101hotels,12,5,41.666666666666664,8,2025-03-29
666214_101hotels,2,1,50.0,2,2025-03-29
670249_101hotels,2,2,100.0,4,2025-03-29
378505_101hotels,7,4,57.142857142857146,21,2025-03-29
658204_101hotels,5,1,20.0,2,2025-03-29
231_101hotels,58,2,3.4482758620689653,4,2025-03-29
654332_101hotels,11,6,54.54545454545455,13,2025-03-29
514581_101hotels,7,3,42.857142857142854,6,2025-03-29
669608_101hotels,6,5,83.33333333333333,29,2025-03-29
14127_101hotels,9,2,22.22222222222222,5,2025-03-29
666722_101hotels,7,1,14.285714285714286,2,2025-03-29
669236_101hotels,7,2,28.571428571428573,4,2025-03-29
650983_101hotels,7,5,71.42857142857143,14,2025-03-29
560074_101hotels,23,6,26.08695652173913,9,2025-03-29
9536_101hotels,16,12,75.0,21,2025-03-29
485325_101hotels,18,15,83.33333333333333,40,2025-03-29
666215_101hotels,5,2,40.0,4,2025-03-29
10672_101hotels,6,3,50.0,15,2025-03-29
655145_101hotels,7,1,14.285714285714286,2,2025-03-29
665413_101hotels,2,1,50.0,4,2025-03-29
667749_101hotels,3,1,33.333333333333336,2,2025-03-29
660799_101hotels,7,1,14.285714285714286,2,2025-03-29
6855_101hotels,27,22,81.48148148148148,48,2025-03-29
514527_101hotels,15,7,46.666666666666664,10,2025-03-29
658823_101hotels,5,3,60.0,10,2025-03-29
658692_101hotels,7,2,28.571428571428573,5,2025-03-29
660703_101hotels,3,3,100.0,6,2025-03-29
663773_101hotels,12,14,116.66666666666667,28,2025-03-29
653874_101hotels,4,2,50.0,6,2025-03-29
218_101hotels,10,1,10.0,4,2025-03-29
221_101hotels,58,8,13.793103448275861,14,2025-03-29
605_101hotels,67,2,2.985074626865672,4,2025-03-29
14079_101hotels,23,14,60.869565217391305,30,2025-03-29
48009_101hotels,84,71,84.52380952380952,142,2025-03-29
421726_101hotels,12,8,66.66666666666667,10,2025-03-29
559557_101hotels,30,5,16.666666666666668,7,2025-03-29
669566_101hotels,25,5,20.0,7,2025-03-29
651714_101hotels,9,7,77.77777777777777,20,2025-03-29
6433_101hotels,13,10,76.92307692307692,21,2025-03-29
669748_101hotels,8,7,87.5,13,2025-03-29
671748_101hotels,1,1,100.0,4,2025-03-29
672185_101hotels,1,1,100.0,2,2025-03-29
665625_101hotels,7,5,71.42857142857143,20,2025-03-29
9394_101hotels,92,38,41.30434782608695,42,2025-03-29
